"Cement emissions in MtCO₂"
;Germany;Spain;Switzerland;"United Kingdom"
1990;15.2973;12.279;2.5808;7.2953
1991;13.7412;11.7008;2.2485;5.9942
1992;14.444;10.4383;2.1076;5.4564
1993;14.5313;9.9136;1.9131;5.5249
1994;15.3406;11.499;2.1096;6.3678
1995;15.5624;12.3646;1.9894;6.2849
1996;14.8111;12.1146;1.791;6.4164
1997;15.275;12.7515;1.607;6.7105
1998;15.5446;13.8089;1.6075;6.8382
1999;15.7711;14.4316;1.6059;6.5309
2000;15.2529;14.7276;1.7249;6.3319
2001;13.504;15.0144;1.7579;5.8438
2002;12.8226;15.5302;1.6906;5.9883
2003;13.5071;16.0375;1.6538;5.8675
2004;14.0683;16.2921;1.7522;5.9766
2005;13.0498;16.7918;1.8475;5.9412
2006;13.3403;16.7447;1.8527;5.8928
2007;14.4491;16.8239;1.885;6.117
2008;13.5785;14.3895;1.8579;5.2049
2009;12.559;11.402;1.8481;3.7212
2010;12.4315;11.1974;1.955;3.792
2011;13.3933;9.5227;1.9253;4.0968
2012;13.2886;8.7542;1.8076;3.724
2013;12.503;7.6424;1.8329;4.0291
2014;12.9046;8.8968;1.8797;4.2148
2015;12.6256;9.216;1.7148;4.3934
2016;12.6627;9.4136;1.769;4.5533
2017;13.4081;9.4487;1.7598;4.4098
2018;13.2279;9.6674;1.7384;4.3639
2019;13.2866;9.0642;1.7322;4.4485
2020;13.3575;8.1918;1.6792;3.8997
2021;13.234;8.6089;1.6792;3.8997

Sources
Cement;"For sources and methods, see Friedlingstein et al. (2022), Andrew and Peters (2022) and Peters et al. (2011).

Friedlingstein, P., O’Sullivan, M., Jones, M.W., Andrew, R.M., Gregor, L. et al. (2022): Global Carbon Budget 2022, Earth System Science Data. Available at: <a href=""https://doi.org/10.5194/essd-14-4811-2022"" target=""_blank""> Friedlingstein et al., 2022.</a>

Andrew, R.M. and Peters, G.P. (2022): The Global Carbon Project's fossil CO<sub>2</sub> emissions dataset. October, 17, 2022. Available at: <a href=""https://zenodo.org/record/7215364"" target=""_blank"">Andrew and Peters, 2022.</a>

Peters, G.P., Minx, J.C., Weber, C.L., and O. Edenhofer (2011), Growth in emission transfers via international trade from 1990 to 2008. Proceedings of the National Academy of Sciences (PNAS), 108(21), 8903-8908, Available at: <a href=""https://doi.org/10.1073/pnas.1006388108"" target=""_blank"">Peters et al., 2011.</a>

The use of data is conditional on citing the original data sources. 

Data for years 2020 and 2021 are preliminary."
