"Coal emissions in MtCO₂"
;Germany;Spain;Switzerland;"United Kingdom"
1990;569.1339;79.8764;1.4666;252.6897
1991;504.0584;82.3963;1.2113;253.6225
1992;454.3245;85.6497;0.89649;237.7469
1993;430.7901;82.449;0.76348;207.6859
1994;418.1971;82.9409;0.77822;195.3756
1995;406.0598;85.8793;0.79707;181.6993
1996;400.6269;72.6593;0.5755;173.0715
1997;386.8786;75.3314;0.49993;154.7287
1998;377.4945;73.4556;0.43944;154.0878
1999;360.0663;83.5311;0.45323;138.3134
2000;373.4731;88.3215;0.64459;144.4431
2001;376.5332;81.0981;0.65379;153.5337
2002;375.7991;90.9168;0.59432;141.6911
2003;379.5367;84.2931;0.60189;153.1028
2004;375.9904;87.367;0.58773;147.6623
2005;363.2397;87.7656;0.6333;148.0327
2006;369.5961;77.9524;0.6795;160.8438
2007;379.387;84.6291;0.74052;150.8435
2008;356.2209;59.3342;0.68089;139.2191
2009;317.9046;45.0809;0.63629;113.8231
2010;343.364;36.3524;0.64887;118.0304
2011;344.6979;54.2154;0.60822;117.1497
2012;349.8032;63.2529;0.55818;148.0055
2013;356.8896;49.1905;0.58481;142.4566
2014;344.8501;54.1421;0.60341;115.4335
2015;341.0183;61.8409;0.56253;91.548
2016;329.4451;45.6773;0.52846;47.8246
2017;310.763;53.5927;0.50623;39.1288
2018;295.6735;48.0661;0.47896;33.2802
2019;240.0865;23.6225;0.4316;24.5127
2020;197.3577;14.3;0.4144;22.8094
2021;230.221;18.5755;0.41326;23.6897

Sources
Coal;"For sources and methods, see Friedlingstein et al. (2022), Andrew and Peters (2022) and Peters et al. (2011).

Friedlingstein, P., O’Sullivan, M., Jones, M.W., Andrew, R.M., Gregor, L. et al. (2022): Global Carbon Budget 2022, Earth System Science Data. Available at: <a href=""https://doi.org/10.5194/essd-14-4811-2022"" target=""_blank""> Friedlingstein et al., 2022.</a>

Andrew, R.M. and Peters, G.P. (2022): The Global Carbon Project's fossil CO<sub>2</sub> emissions dataset. October, 17, 2022. Available at: <a href=""https://zenodo.org/record/7215364"" target=""_blank"">Andrew and Peters, 2022.</a>

Peters, G.P., Minx, J.C., Weber, C.L., and O. Edenhofer (2011), Growth in emission transfers via international trade from 1990 to 2008. Proceedings of the National Academy of Sciences (PNAS), 108(21), 8903-8908, Available at: <a href=""https://doi.org/10.1073/pnas.1006388108"" target=""_blank"">Peters et al., 2011.</a>

The use of data is conditional on citing the original data sources. 

Data for years 2020 and 2021 are preliminary."
