ObjectId,Country,ISO2,ISO3,Indicator,Unit,Source,CTS_Code,CTS_Name,CTS_Full_Descriptor,Climate_Influence,F1980,F1981,F1982,F1983,F1984,F1985,F1986,F1987,F1988,F1989,F1990,F1991,F1992,F1993,F1994,F1995,F1996,F1997,F1998,F1999,F2000,F2001,F2002,F2003,F2004,F2005,F2006,F2007,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,F2018,F2019,F2020,F2021
1,"Afghanistan, Islamic Rep. of",AF,AFG,"Climate related disasters frequency, Number of Disasters: Drought",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2022-03-24.",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Climate Indicators, Climate Related Disasters Frequency",Not Applicable,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,1,,,1,,,,,,,1,,,1
2,"Afghanistan, Islamic Rep. of",AF,AFG,"Climate related disasters frequency, Number of Disasters: Extreme temperature",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2022-03-24.",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Climate Indicators, Climate Related Disasters Frequency",Not Applicable,,,,,,,,,,,1,1,,,,,,,,,,2,,,,1,,,1,,,,1,,,,,,,,,
3,"Afghanistan, Islamic Rep. of",AF,AFG,"Climate related disasters frequency, Number of Disasters: Flood",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2022-03-24.",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Climate Indicators, Climate Related Disasters Frequency",Not Applicable,1,,,,,,,,1,,,3,2,,,2,1,2,1,1,,,4,8,2,9,7,7,1,3,2,2,6,4,2,1,4,1,3,6,5,2
4,"Afghanistan, Islamic Rep. of",AF,AFG,"Climate related disasters frequency, Number of Disasters: Landslide",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2022-03-24.",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Climate Indicators, Climate Related Disasters Frequency",Not Applicable,,,,,,,,1,,,,,,2,,1,,1,1,,,,1,,,,2,,,1,2,,3,1,,4,,2,2,1,1,1
5,"Afghanistan, Islamic Rep. of",AF,AFG,"Climate related disasters frequency, Number of Disasters: Storm",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2022-03-24.",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Climate Indicators, Climate Related Disasters Frequency",Not Applicable,,,,,,,,,,,,,,1,,,,,,,,,,,,1,2,,,,,1,,,1,,,2,,,1,
6,"Afghanistan, Islamic Rep. of",AF,AFG,"Climate related disasters frequency, Number of Disasters: TOTAL",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2022-03-24.",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Climate Indicators, Climate Related Disasters Frequency",Not Applicable,1,,,,,,,1,1,,1,4,2,3,,3,1,3,2,2,1,2,5,8,2,11,12,7,3,4,4,4,10,5,3,5,4,5,6,7,7,4
7,"Afghanistan, Islamic Rep. of",AF,AFG,"Climate related disasters frequency, Number of Disasters: Wildfire",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2022-03-24.",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Climate Indicators, Climate Related Disasters Frequency",Not Applicable,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
8,Albania,AL,ALB,"Climate related disasters frequency, Number of Disasters: Drought",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2022-03-24.",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Climate Indicators, Climate Related Disasters Frequency",Not Applicable,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Albania,AL,ALB,"Climate related disasters frequency, Number of Disasters: Extreme temperature",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2022-03-24.",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Climate Indicators, Climate Related Disasters Frequency",Not Applicable,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,1,,,,,1,,,,,1,,,,
10,Albania,AL,ALB,"Climate related disasters frequency, Number of Disasters: Flood",Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2022-03-24.",ECCD,Climate Related Disasters Frequency,"Environment, Climate Change, Climate Indicators, Climate Related Disasters Frequency",Not Applicable,,,,,,,,,,,,,1,,,2,,1,,,,,1,,1,1,,,,1,1,,,,,3,1,1,1,,,1
