"Territorial emissions in MtCO₂"
;Germany;Spain;Switzerland;"United Kingdom"
1990;1051.9791;231.3284;44.1599;601.9451
1991;1013.8241;241.0743;46.1334;609.4127
1992;965.5418;249.9392;46.0165;593.8459
1993;955.8199;241.2989;43.6119;579.6125
1994;939.4923;253.8038;42.6766;574.0169
1995;938.6136;267.5775;43.4193;566.159
1996;958.7004;255.0491;44.1074;586.7607
1997;930.8701;267.5898;43.0475;562.7081
1998;922.8122;276.1846;44.6229;568.5437
1999;895.3521;299.7221;44.4456;561.6496
2000;899.3518;311.6746;43.6224;569.0337
2001;916.1445;313.6206;45.0775;577.9706
2002;899.4498;333.7303;43.4639;560.2732
2003;900.6277;338.0459;44.6477;571.6188
2004;886.6372;354.828;45.2383;573.4298
2005;866.3028;370.0658;45.7786;570.3384
2006;877.9388;361.1203;45.3733;567.8457
2007;851.223;368.9856;43.3688;559.5665
2008;854.5082;337.1824;44.7106;544.9324
2009;789.9;297.7478;43.5386;494.1077
2010;832.541;284.2827;45.0457;511.9046
2011;808.9115;285.1323;40.9852;469.7133
2012;813.693;279.385;42.253;487.4768
2013;831.2077;253.1027;43.1877;477.6113
2014;792.2554;255.4591;39.2336;438.8071
2015;795.5566;272.1647;38.7318;422.4608
2016;800.3398;261.2277;39.1853;399.4301
2017;785.6165;275.0532;38.1786;387.3671
2018;754.4084;270.0523;36.8738;379.7298
2019;707.1499;251.8251;36.7331;364.7533
2020;639.381;213.3397;34.241;326.2632
2021;674.7536;233.6495;34.9317;346.7732

Sources
Territorial;"For sources and methods, see Friedlingstein et al. (2022), Andrew and Peters (2022) and Peters et al. (2011).

Friedlingstein, P., O’Sullivan, M., Jones, M.W., Andrew, R.M., Gregor, L. et al. (2022): Global Carbon Budget 2022, Earth System Science Data. Available at: <a href=""https://doi.org/10.5194/essd-14-4811-2022"" target=""_blank""> Friedlingstein et al., 2022.</a>

Andrew, R.M. and Peters, G.P. (2022): The Global Carbon Project's fossil CO<sub>2</sub> emissions dataset. October, 17, 2022. Available at: <a href=""https://zenodo.org/record/7215364"" target=""_blank"">Andrew and Peters, 2022.</a>

Peters, G.P., Minx, J.C., Weber, C.L., and O. Edenhofer (2011), Growth in emission transfers via international trade from 1990 to 2008. Proceedings of the National Academy of Sciences (PNAS), 108(21), 8903-8908, Available at: <a href=""https://doi.org/10.1073/pnas.1006388108"" target=""_blank"">Peters et al., 2011.</a>

The use of data is conditional on citing the original data sources. 

Data for years 2020 and 2021 are preliminary."
