"Oil emissions in MtCO₂"
;Germany;Spain;Switzerland;"United Kingdom"
1990;330.4716;122.327;35.9459;217.7998
1991;352.1747;128.8031;38.0461;218.3903
1992;353.9609;134.5532;38.1813;218.4468
1993;360.9988;130.0418;35.8874;219.1632
1994;350.0521;138.9062;34.8211;215.7363
1995;350.3528;145.2508;35.2086;211.5951
1996;360.0381;143.8237;35.8784;216.8925
1997;352.402;146.688;35.2702;207.7434
1998;351.1976;154.7898;36.7419;204.9339
1999;340.7276;163.2947;36.3412;201.663
2000;331.1252;165.0522;35.2242;198.238
2001;339.733;171.1897;36.3965;198.6508
2002;325.0017;175.6792;35.024;196.1303
2003;320.4556;179.9382;35.9035;194.3974
2004;311.1609;185.3893;36.1698;197.9523
2005;304.8182;189.4517;36.3737;200.4477
2006;304.5537;184.8827;36.1126;197.1831
2007;270.7699;184.4945;34.1796;196.1603
2008;292.8527;174.473;35.2149;188.7995
2009;281.7512;162.2518;34.4138;180.2639
2010;281.8334;157.6465;35.0199;179.8484
2011;271.122;147.3137;31.8213;172.0597
2012;271.5588;135.9638;32.6714;170.2884
2013;280.0018;130.4665;33.2278;165.7565
2014;270.9404;131.1385;30.1658;166.5107
2015;273.4077;137.7101;29.4672;170.7726
2016;277.7836;141.796;29.557;173.9303
2017;279.1809;142.5715;28.6196;174.8506
2018;265.2242;143.5314;27.7697;173.0871
2019;270.9104;141.2209;27.4893;168.9955
2020;251.3839;120.2836;25.3092;143.9809
2021;248.2006;133.1126;25.4205;154.1108

Sources
Oil;"For sources and methods, see Friedlingstein et al. (2022), Andrew and Peters (2022) and Peters et al. (2011).

Friedlingstein, P., O’Sullivan, M., Jones, M.W., Andrew, R.M., Gregor, L. et al. (2022): Global Carbon Budget 2022, Earth System Science Data. Available at: <a href=""https://doi.org/10.5194/essd-14-4811-2022"" target=""_blank""> Friedlingstein et al., 2022.</a>

Andrew, R.M. and Peters, G.P. (2022): The Global Carbon Project's fossil CO<sub>2</sub> emissions dataset. October, 17, 2022. Available at: <a href=""https://zenodo.org/record/7215364"" target=""_blank"">Andrew and Peters, 2022.</a>

Peters, G.P., Minx, J.C., Weber, C.L., and O. Edenhofer (2011), Growth in emission transfers via international trade from 1990 to 2008. Proceedings of the National Academy of Sciences (PNAS), 108(21), 8903-8908, Available at: <a href=""https://doi.org/10.1073/pnas.1006388108"" target=""_blank"">Peters et al., 2011.</a>

The use of data is conditional on citing the original data sources. 

Data for years 2020 and 2021 are preliminary."
