Entity,Code,Year,Solar (TWh growth - equivalent)
Africa,,1972,0
Africa,,1973,0
Africa,,1974,0
Africa,,1975,0
Africa,,1976,0
Africa,,1977,0
Africa,,1978,0
Africa,,1979,0
Africa,,1980,0
Africa,,1981,0
Africa,,1982,0
Africa,,1983,0
Africa,,1984,0
Africa,,1985,0
Africa,,1986,0
Africa,,1987,0
Africa,,1988,0
Africa,,1989,0
Africa,,1990,0
Africa,,1991,0
Africa,,1992,0
Africa,,1993,0
Africa,,1994,0
Africa,,1995,0
Africa,,1996,0
Africa,,1997,0
Africa,,1998,0
Africa,,1999,0
Africa,,2000,0.03531389
Africa,,2001,0.008641943
Africa,,2002,0.005087778
Africa,,2003,0.009115275
Africa,,2004,0.012631666
Africa,,2005,0.013343893
Africa,,2006,0.023727216
Africa,,2007,0.034871124
Africa,,2008,0.061435536
Africa,,2009,0.06343001
Africa,,2010,0.33206308
Africa,,2011,1.0612941
Africa,,2012,1.0608517
Africa,,2013,-0.5754862
Africa,,2014,3.0122082
Africa,,2015,3.6168184
Africa,,2016,5.6380672
Africa,,2017,6.273898
Africa,,2018,5.911619
Africa,,2019,7.3900585
Africa,,2020,8.186073
Africa,,2021,1.0399742
Africa (BP),,1972,0
Africa (BP),,1973,0
Africa (BP),,1974,0
Africa (BP),,1975,0
Africa (BP),,1976,0
Africa (BP),,1977,0
Africa (BP),,1978,0
Africa (BP),,1979,0
Africa (BP),,1980,0
Africa (BP),,1981,0
Africa (BP),,1982,0
Africa (BP),,1983,0
Africa (BP),,1984,0
Africa (BP),,1985,0
Africa (BP),,1986,0
Africa (BP),,1987,0
Africa (BP),,1988,0
Africa (BP),,1989,0
Africa (BP),,1990,0
Africa (BP),,1991,0
Africa (BP),,1992,0
Africa (BP),,1993,0
Africa (BP),,1994,0
Africa (BP),,1995,0
Africa (BP),,1996,0
Africa (BP),,1997,0
Africa (BP),,1998,0
Africa (BP),,1999,0
Africa (BP),,2000,0.035309445
Africa (BP),,2001,0.008639999
Africa (BP),,2002,0.005086113
Africa (BP),,2003,0.00913889
Africa (BP),,2004,0.012618884
Africa (BP),,2005,0.01334361
Africa (BP),,2006,0.023738056
Africa (BP),,2007,0.034861393
Africa (BP),,2008,0.061425284
Africa (BP),,2009,0.06344026
Africa (BP),,2010,0.33206663
Africa (BP),,2011,1.0612879
Africa (BP),,2012,1.0608509
Africa (BP),,2013,-0.57548594
Africa (BP),,2014,3.0122075
Africa (BP),,2015,3.6168084
Africa (BP),,2016,5.6380777
Africa (BP),,2017,6.273898
Africa (BP),,2018,5.9116173
Africa (BP),,2019,7.3900566
Africa (BP),,2020,8.186077
Africa (BP),,2021,1.0399742
Algeria,DZA,1966,0
Algeria,DZA,1967,0
Algeria,DZA,1968,0
Algeria,DZA,1969,0
Algeria,DZA,1970,0
Algeria,DZA,1971,0
Algeria,DZA,1972,0
Algeria,DZA,1973,0
Algeria,DZA,1974,0
Algeria,DZA,1975,0
Algeria,DZA,1976,0
Algeria,DZA,1977,0
Algeria,DZA,1978,0
Algeria,DZA,1979,0
Algeria,DZA,1980,0
Algeria,DZA,1981,0
Algeria,DZA,1982,0
Algeria,DZA,1983,0
Algeria,DZA,1984,0
Algeria,DZA,1985,0
Algeria,DZA,1986,0
Algeria,DZA,1987,0
Algeria,DZA,1988,0
Algeria,DZA,1989,0
Algeria,DZA,1990,0
Algeria,DZA,1991,0
Algeria,DZA,1992,0
Algeria,DZA,1993,0
Algeria,DZA,1994,0
Algeria,DZA,1995,0
Algeria,DZA,1996,0
Algeria,DZA,1997,0
Algeria,DZA,1998,0
Algeria,DZA,1999,0
Algeria,DZA,2000,0
Algeria,DZA,2001,0
Algeria,DZA,2002,0
Algeria,DZA,2003,0
Algeria,DZA,2004,0
Algeria,DZA,2005,0
Algeria,DZA,2006,0
Algeria,DZA,2007,0
Algeria,DZA,2008,0
Algeria,DZA,2009,0
Algeria,DZA,2010,0.025249999
Algeria,DZA,2011,0.024733335
Algeria,DZA,2012,0.023289446
Algeria,DZA,2013,0.0046741664
Algeria,DZA,2014,0.084598884
Algeria,DZA,2015,-0.0063533336
Algeria,DZA,2016,0.49968165
Algeria,DZA,2017,0.6854161
Algeria,DZA,2018,0.25408328
Algeria,DZA,2019,0.025749564
Algeria,DZA,2020,0.17788494
Algeria,DZA,2021,-0.061534524
Argentina,ARG,1966,0
Argentina,ARG,1967,0
Argentina,ARG,1968,0
Argentina,ARG,1969,0
Argentina,ARG,1970,0
Argentina,ARG,1971,0
Argentina,ARG,1972,0
Argentina,ARG,1973,0
Argentina,ARG,1974,0
Argentina,ARG,1975,0
Argentina,ARG,1976,0
Argentina,ARG,1977,0
Argentina,ARG,1978,0
Argentina,ARG,1979,0
Argentina,ARG,1980,0
Argentina,ARG,1981,0
Argentina,ARG,1982,0
Argentina,ARG,1983,0
Argentina,ARG,1984,0
Argentina,ARG,1985,0
Argentina,ARG,1986,0
Argentina,ARG,1987,0
