Entity,Code,Year,Solar (% equivalent primary energy)
Africa,,1971,0
Africa,,1972,0
Africa,,1973,0
Africa,,1974,0
Africa,,1975,0
Africa,,1976,0
Africa,,1977,0
Africa,,1978,0
Africa,,1979,0
Africa,,1980,0
Africa,,1981,0
Africa,,1982,0
Africa,,1983,0
Africa,,1984,0
Africa,,1985,0
Africa,,1986,0
Africa,,1987,0
Africa,,1988,0
Africa,,1989,0
Africa,,1990,0
Africa,,1991,0
Africa,,1992,0
Africa,,1993,0
Africa,,1994,0
Africa,,1995,0
Africa,,1996,0
Africa,,1997,0
Africa,,1998,0
Africa,,1999,0
Africa,,2000,0.0011007969
Africa,,2001,0.001324146
Africa,,2002,0.0014531702
Africa,,2003,0.0016437006
Africa,,2004,0.0018682962
Africa,,2005,0.002214702
Africa,,2006,0.0027837367
Africa,,2007,0.0035508324
Africa,,2008,0.004789645
Africa,,2009,0.006178744
Africa,,2010,0.013429861
Africa,,2011,0.03689415
Africa,,2012,0.05823969
Africa,,2013,0.044672735
Africa,,2014,0.10449535
Africa,,2015,0.1736639
Africa,,2016,0.2779333
Africa,,2017,0.3892137
Africa,,2018,0.48900396
Africa,,2019,0.6120093
Africa,,2020,0.8039458
Africa,,2021,0.77807826
Africa (BP),,1971,0
Africa (BP),,1972,0
Africa (BP),,1973,0
Africa (BP),,1974,0
Africa (BP),,1975,0
Africa (BP),,1976,0
Africa (BP),,1977,0
Africa (BP),,1978,0
Africa (BP),,1979,0
Africa (BP),,1980,0
Africa (BP),,1981,0
Africa (BP),,1982,0
Africa (BP),,1983,0
Africa (BP),,1984,0
Africa (BP),,1985,0
Africa (BP),,1986,0
Africa (BP),,1987,0
Africa (BP),,1988,0
Africa (BP),,1989,0
Africa (BP),,1990,0
Africa (BP),,1991,0
Africa (BP),,1992,0
Africa (BP),,1993,0
Africa (BP),,1994,0
Africa (BP),,1995,0
Africa (BP),,1996,0
Africa (BP),,1997,0
Africa (BP),,1998,0
Africa (BP),,1999,0
Africa (BP),,2000,0.0011006584
Africa (BP),,2001,0.0013239534
Africa (BP),,2002,0.0014529313
Africa (BP),,2003,0.0016441405
Africa (BP),,2004,0.0018683693
Africa (BP),,2005,0.002214768
Africa (BP),,2006,0.0027840806
Africa (BP),,2007,0.003550922
Africa (BP),,2008,0.004789489
Africa (BP),,2009,0.006178827
Africa (BP),,2010,0.013430021
Africa (BP),,2011,0.03689417
Africa (BP),,2012,0.0582397
Africa (BP),,2013,0.04467274
Africa (BP),,2014,0.10449534
Africa (BP),,2015,0.17366369
Africa (BP),,2016,0.27793333
Africa (BP),,2017,0.3892137
Africa (BP),,2018,0.4890039
Africa (BP),,2019,0.6120092
Africa (BP),,2020,0.8039458
Africa (BP),,2021,0.77807826
Algeria,DZA,1965,0
Algeria,DZA,1966,0
Algeria,DZA,1967,0
Algeria,DZA,1968,0
Algeria,DZA,1969,0
Algeria,DZA,1970,0
Algeria,DZA,1971,0
Algeria,DZA,1972,0
Algeria,DZA,1973,0
Algeria,DZA,1974,0
Algeria,DZA,1975,0
Algeria,DZA,1976,0
Algeria,DZA,1977,0
Algeria,DZA,1978,0
Algeria,DZA,1979,0
Algeria,DZA,1980,0
Algeria,DZA,1981,0
Algeria,DZA,1982,0
Algeria,DZA,1983,0
Algeria,DZA,1984,0
Algeria,DZA,1985,0
Algeria,DZA,1986,0
Algeria,DZA,1987,0
Algeria,DZA,1988,0
Algeria,DZA,1989,0
Algeria,DZA,1990,0
Algeria,DZA,1991,0
Algeria,DZA,1992,0
Algeria,DZA,1993,0
Algeria,DZA,1994,0
Algeria,DZA,1995,0
Algeria,DZA,1996,0
Algeria,DZA,1997,0
Algeria,DZA,1998,0
Algeria,DZA,1999,0
Algeria,DZA,2000,0
Algeria,DZA,2001,0
Algeria,DZA,2002,0
Algeria,DZA,2003,0
Algeria,DZA,2004,0
Algeria,DZA,2005,0
Algeria,DZA,2006,0
Algeria,DZA,2007,0
Algeria,DZA,2008,0
Algeria,DZA,2009,0
Algeria,DZA,2010,0.0057517756
Algeria,DZA,2011,0.010760946
Algeria,DZA,2012,0.014433099
Algeria,DZA,2013,0.014515886
Algeria,DZA,2014,0.027756516
Algeria,DZA,2015,0.025293589
Algeria,DZA,2016,0.106301226
Algeria,DZA,2017,0.21502112
Algeria,DZA,2018,0.23763257
Algeria,DZA,2019,0.23329379
Algeria,DZA,2020,0.27490386
Algeria,DZA,2021,0.2537999
Argentina,ARG,1965,0
Argentina,ARG,1966,0
Argentina,ARG,1967,0
Argentina,ARG,1968,0
Argentina,ARG,1969,0
Argentina,ARG,1970,0
Argentina,ARG,1971,0
Argentina,ARG,1972,0
Argentina,ARG,1973,0
Argentina,ARG,1974,0
Argentina,ARG,1975,0
Argentina,ARG,1976,0
Argentina,ARG,1977,0
Argentina,ARG,1978,0
Argentina,ARG,1979,0
Argentina,ARG,1980,0
Argentina,ARG,1981,0
Argentina,ARG,1982,0
Argentina,ARG,1983,0
Argentina,ARG,1984,0
Argentina,ARG,1985,0
Argentina,ARG,1986,0
Argentina,ARG,1987,0
Argentina,ARG,1988,0
Argentina,ARG,1989,0
Argentina,ARG,1990,0
Argentina,ARG,1991,0
Argentina,ARG,1992,0
Argentina,ARG,1993,0
Argentina,ARG,1994,0
Argentina,ARG,1995,0
Argentina,ARG,1996,0
Argentina,ARG,1997,0
Argentina,ARG,1998,0.0000073034457
Argentina,ARG,1999,0.000011056523
Argentina,ARG,2000,0.000015225888
Argentina,ARG,2001,0.00001851931
Argentina,ARG,2002,0.000020968526
Argentina,ARG,2003,0.000026889687
Argentina,ARG,2004,0.00002707599
Argentina,ARG,2005,0.000029337736
Argentina,ARG,2006,0.000030835607
Argentina,ARG,2007,0.000035572175
Argentina,ARG,2008,0.000045872686
Argentina,ARG,2009,0.000024896292
Argentina,ARG,2010,0.000026933396
Argentina,ARG,2011,0.00048874883
Argentina,ARG,2012,0.0023722528
Argentina,ARG,2013,0.0041799652
Argentina,ARG,2014,0.004408179
Argentina,ARG,2015,0.003967834
Argentina,ARG,2016,0.0038529567
Argentina,ARG,2017,0.0044105537
Argentina,ARG,2018,0.029088747
Argentina,ARG,2019,0.2264681
Argentina,ARG,2020,0.4008213
Argentina,ARG,2021,0.6025807
Asia,,1965,0
Asia,,1966,0
Asia,,1967,0
Asia,,1968,0
Asia,,1969,0
Asia,,1970,0
Asia,,1971,0
Asia,,1972,0
Asia,,1973,0
Asia,,1974,0
Asia,,1975,0
Asia,,1976,0
Asia,,1977,0
Asia,,1978,0
Asia,,1979,0
Asia,,1980,0
Asia,,1981,0
Asia,,1982,0
Asia,,1983,0
Asia,,1984,0
Asia,,1985,0
Asia,,1986,0
Asia,,1987,0
Asia,,1988,0
Asia,,1989,0
Asia,,1990,0.00004593241
Asia,,1991,0.000044203825
Asia,,1992,0.00016420474
Asia,,1993,0.00028991868
Asia,,1994,0.00034817727
Asia,,1995,0.0004588304
Asia,,1996,0.0006440578
Asia,,1997,0.0010038152
Asia,,1998,0.0014409502
Asia,,1999,0.0020489902
Asia,,2000,0.0030634506
Asia,,2001,0.0042728256
Asia,,2002,0.005622545
Asia,,2003,0.0070804306
Asia,,2004,0.0084752785
Asia,,2005,0.009968586
Asia,,2006,0.011619605
Asia,,2007,0.013044782
Asia,,2008,0.015216951
Asia,,2009,0.019108338
Asia,,2010,0.025318196
Asia,,2011,0.0422169
Asia,,2012,0.060982265
Asia,,2013,0.11088627
Asia,,2014,0.21736026
Asia,,2015,0.32667458
Asia,,2016,0.479574
Asia,,2017,0.72763324
Asia,,2018,0.995416
Asia,,2019,1.2206252
Asia,,2020,1.4705601
Asia,,2021,1.7145219
Asia Pacific (BP),,1965,0
Asia Pacific (BP),,1966,0
Asia Pacific (BP),,1967,0
Asia Pacific (BP),,1968,0
Asia Pacific (BP),,1969,0
Asia Pacific (BP),,1970,0
Asia Pacific (BP),,1971,0
Asia Pacific (BP),,1972,0
Asia Pacific (BP),,1973,0
Asia Pacific (BP),,1974,0
Asia Pacific (BP),,1975,0
Asia Pacific (BP),,1976,0
Asia Pacific (BP),,1977,0
Asia Pacific (BP),,1978,0
Asia Pacific (BP),,1979,0
Asia Pacific (BP),,1980,0
