Entity,Code,Year,Wind Capacity
Africa,,1997,0.006
Africa,,1998,0.01
Africa,,1999,0.064
Africa,,2000,0.13905
Africa,,2001,0.13905
Africa,,2002,0.14431
Africa,,2003,0.15361000000000002
Africa,,2004,0.23613
Africa,,2005,0.2402
Africa,,2006,0.327925
Africa,,2007,0.47012000000000004
Africa,,2008,0.55532
Africa,,2009,0.74237
Africa,,2010,0.864797
Africa,,2011,0.9950019999999999
Africa,,2012,1.127604
Africa,,2013,1.741834
Africa,,2014,2.399398
Africa,,2015,3.320268
Africa,,2016,3.826414
Africa,,2017,4.5792627
Africa,,2018,5.4715527
Africa,,2019,5.528753
Africa,,2020,6.4846533
Africa,,2021,7.334153000000001
Africa (BP),,1997,0.006
Africa (BP),,1998,0.01
Africa (BP),,1999,0.064
Africa (BP),,2000,0.13905
Africa (BP),,2001,0.13905
Africa (BP),,2002,0.14431
Africa (BP),,2003,0.15361000000000002
Africa (BP),,2004,0.23613
Africa (BP),,2005,0.2402
Africa (BP),,2006,0.327925
Africa (BP),,2007,0.47012000000000004
Africa (BP),,2008,0.55532
Africa (BP),,2009,0.74237
Africa (BP),,2010,0.864797
Africa (BP),,2011,0.9950019999999999
Africa (BP),,2012,1.127604
Africa (BP),,2013,1.741834
Africa (BP),,2014,2.399398
Africa (BP),,2015,3.320268
Africa (BP),,2016,3.826414
Africa (BP),,2017,4.579263
Africa (BP),,2018,5.471553
Africa (BP),,2019,5.528753
Africa (BP),,2020,6.484653000000001
Africa (BP),,2021,7.334153000000001
Argentina,ARG,1997,0.009000000000000001
Argentina,ARG,1998,0.014
Argentina,ARG,1999,0.014
Argentina,ARG,2000,0.014112
Argentina,ARG,2001,0.024829
Argentina,ARG,2002,0.025797999999999998
Argentina,ARG,2003,0.025729
Argentina,ARG,2004,0.027829
Argentina,ARG,2005,0.027829
Argentina,ARG,2006,0.027829
Argentina,ARG,2007,0.027829
Argentina,ARG,2008,0.027829
Argentina,ARG,2009,0.027829
Argentina,ARG,2010,0.027829
Argentina,ARG,2011,0.059579
Argentina,ARG,2012,0.13697900000000002
Argentina,ARG,2013,0.189979
Argentina,ARG,2014,0.21518700000000002
Argentina,ARG,2015,0.18710400000000002
Argentina,ARG,2016,0.187442
Argentina,ARG,2017,0.226742
Argentina,ARG,2018,0.750342
Argentina,ARG,2019,1.609359
Argentina,ARG,2020,2.623904
Argentina,ARG,2021,3.292124
Asia,,1997,1.127
Asia,,1998,1.246
Asia,,1999,1.395
Asia,,2000,1.41426
Asia,,2001,2.176557
Asia,,2002,2.402797
Asia,,2003,3.601465
Asia,,2004,5.46147
Asia,,2005,6.972510000000001
Asia,,2006,10.653403
Asia,,2007,14.256196000000001
Asia,,2008,21.47542
Asia,,2009,32.258021
Asia,,2010,47.56460500000001
Asia,,2011,67.92041
Asia,,2012,85.24638
Asia,,2013,102.48747
Asia,,2014,128.19758000000002
Asia,,2015,166.67778
Asia,,2016,190.49298000000002
Asia,,2017,212.19056
Asia,,2018,236.92172
Asia,,2019,266.26896999999997
Asia,,2020,342.29275
Asia,,2021,397.26875
Asia Pacific (BP),,1997,1.117075
Asia Pacific (BP),,1998,1.242075
Asia Pacific (BP),,1999,1.4227550000000002
Asia Pacific (BP),,2000,1.4516099999999998
Asia Pacific (BP),,2001,2.256557
Asia Pacific (BP),,2002,2.523297
Asia Pacific (BP),,2003,3.8199650000000003
Asia Pacific (BP),,2004,5.95347
Asia Pacific (BP),,2005,7.81341
Asia Pacific (BP),,2006,11.526303
Asia Pacific (BP),,2007,15.606296
Asia Pacific (BP),,2008,22.800846000000003
Asia Pacific (BP),,2009,33.560445
Asia Pacific (BP),,2010,48.525027
Asia Pacific (BP),,2011,68.830516
Asia Pacific (BP),,2012,86.04557000000001
Asia Pacific (BP),,2013,103.43621
Asia Pacific (BP),,2014,128.8175
Asia Pacific (BP),,2015,166.6568
Asia Pacific (BP),,2016,189.15586
Asia Pacific (BP),,2017,210.45847
Asia Pacific (BP),,2018,235.15805
Asia Pacific (BP),,2019,264.40815999999995
Asia Pacific (BP),,2020,341.2591
Asia Pacific (BP),,2021,394.15040000000005
Australia,AUS,1997,0.004
Australia,AUS,1998,0.01
Australia,AUS,1999,0.01
Australia,AUS,2000,0.033
Australia,AUS,2001,0.076
Australia,AUS,2002,0.106
Australia,AUS,2003,0.19
Australia,AUS,2004,0.379
Australia,AUS,2005,0.74
Australia,AUS,2006,0.8190000000000001
Australia,AUS,2007,1.249
Australia,AUS,2008,1.441
Australia,AUS,2009,1.703
Australia,AUS,2010,1.864
Australia,AUS,2011,2.1270000000000002
Australia,AUS,2012,2.561
Australia,AUS,2013,3.221
Australia,AUS,2014,3.797
Australia,AUS,2015,4.181
Australia,AUS,2016,4.324
Australia,AUS,2017,4.812
Australia,AUS,2018,5.442
Australia,AUS,2019,6.279
Australia,AUS,2020,8.603
Australia,AUS,2021,8.9506
Austria,AUT,1997,0.02
Austria,AUT,1998,0.03
Austria,AUT,1999,0.042
Austria,AUT,2000,0.05
Austria,AUT,2001,0.067
Austria,AUT,2002,0.109
Austria,AUT,2003,0.322
Austria,AUT,2004,0.581
Austria,AUT,2005,0.825219
Austria,AUT,2006,0.968269
Austria,AUT,2007,0.991159
Austria,AUT,2008,0.991974
Austria,AUT,2009,1.000985
Austria,AUT,2010,1.015828
Austria,AUT,2011,1.105966
Austria,AUT,2012,1.33715
Austria,AUT,2013,1.674538
Austria,AUT,2014,2.110275
Austria,AUT,2015,2.488726
Austria,AUT,2016,2.7299960000000003
Austria,AUT,2017,2.886698
Austria,AUT,2018,3.1327130000000003
Austria,AUT,2019,3.224117
Austria,AUT,2020,3.225985
Austria,AUT,2021,3.523985
Belgium,BEL,1997,0.009000000000000001
Belgium,BEL,1998,0.01
Belgium,BEL,1999,0.011
Belgium,BEL,2000,0.014
Belgium,BEL,2001,0.026000000000000002
Belgium,BEL,2002,0.031
Belgium,BEL,2003,0.067
Belgium,BEL,2004,0.096
Belgium,BEL,2005,0.167
Belgium,BEL,2006,0.212
Belgium,BEL,2007,0.276
Belgium,BEL,2008,0.324
Belgium,BEL,2009,0.608
Belgium,BEL,2010,0.912
Belgium,BEL,2011,1.069
Belgium,BEL,2012,1.37
Belgium,BEL,2013,1.78
Belgium,BEL,2014,1.944
Belgium,BEL,2015,2.176
Belgium,BEL,2016,2.37
Belgium,BEL,2017,2.7875
Belgium,BEL,2018,3.2679
Belgium,BEL,2019,3.8634000000000004
Belgium,BEL,2020,4.680899999999999
Belgium,BEL,2021,4.7796400000000006
Brazil,BRA,1997,0.004
